 Time,Division,Ensemble,Scenario,Percentile,tasmax,tasmin,pr
1950-01-10 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -19.60,  -32.60,    0.00      
1950-01-10 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -19.30,  -32.40,    0.00      
1950-01-10 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,  -19.00,  -32.10,    0.10      
1950-01-10 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,  -18.40,  -31.40,    0.20      
1950-01-10 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,  -19.36,  -32.36,    0.05      
1950-01-11 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -16.10,  -30.30,    1.40      
1950-01-11 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -15.80,  -29.10,    1.60      
1950-01-11 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -15.70,  -28.50,    1.80      
1950-01-11 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,  -15.60,  -27.90,    2.00      
1950-01-11 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,  -15.30,  -26.10,    2.40      
1950-01-11 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,  -15.69,  -28.50,    1.81      
1950-01-12 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -15.30,  -29.50,    1.20      
1950-01-12 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -14.60,  -28.10,    1.40      
1950-01-12 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -14.20,  -26.90,    1.60      
1950-01-12 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,  -14.10,  -25.60,    1.90      
1950-01-12 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,  -13.80,  -23.60,    2.30      
1950-01-12 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,  -14.36,  -26.85,    1.64      
1950-01-13 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -19.90,  -29.80,    0.00      
1950-01-13 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -19.40,  -28.90,    0.00      
1950-01-13 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -18.90,  -28.70,    0.00      
1950-01-13 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,  -18.30,  -28.50,    0.00      
1950-01-13 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,  -16.80,  -27.90,    0.00      
1950-01-13 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,  -18.81,  -28.74,    0.00      
1950-01-14 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -23.00,  -31.00,    0.00      
1950-01-14 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -22.60,  -30.20,    0.00      
1950-01-14 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -22.40,  -29.90,    0.10      
1950-01-14 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,  -22.00,  -29.60,    0.10      
1950-01-14 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,  -20.70,  -29.10,    0.20      
1950-01-14 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,  -22.29,  -29.93,    0.08      
1950-01-15 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -24.40,  -35.50,    0.00      
1950-01-15 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -24.20,  -35.20,    0.00      
1950-01-15 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -24.10,  -35.00,    0.00      
1950-01-15 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,  -23.90,  -34.60,    0.00      
1950-01-15 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,  -22.90,  -33.60,    0.00      
1950-01-15 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,  -24.03,  -34.84,    0.00      
1950-01-16 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -16.60,  -27.20,    1.00      
1950-01-16 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -16.30,  -26.40,    1.10      
1950-01-16 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -16.00,  -25.70,    1.10      
1950-01-16 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,  -15.80,  -25.20,    1.20      
1950-01-16 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,  -15.60,  -24.90,    1.30      
1950-01-16 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,  -16.07,  -25.81,    1.14      
1950-01-17 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -14.40,  -25.10,    1.60      
1950-01-17 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -14.20,  -24.70,    2.10      
1950-01-17 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -13.80,  -24.60,    2.70      
1950-01-17 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,  -13.60,  -24.20,    3.20      
1950-01-17 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,  -12.30,  -23.00,    3.70      
1950-01-17 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,  -13.78,  -24.45,    2.65      
1950-01-18 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -11.80,  -24.80,    0.00      
1950-01-18 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -11.00,  -24.00,    0.10      
1950-01-18 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -10.70,  -23.70,    0.30      
1950-01-18 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,  -10.20,  -23.10,    1.10      
1950-01-18 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,   -9.80,  -21.70,    1.70      
1950-01-18 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,  -10.66,  -23.59,    0.54      
